代码	名称	涨幅%%	总金额	现价	买价	卖价	总量	现量	涨速%%	换手%%	今开	
000725	京东方Ａ	3.76	6608082432	5.79	5.78	5.79	11591063	98170	0.17	          3.42	5.65	
601318	中国平安	0.23	4900094464	70.80	70.79	70.80	693841	267	0.14	          0.64	70.99	
603993	洛阳钼业	7.36	4219532800	8.61	8.61	8.62	5056329	452	0.35	          3.90	8.06	
600030	中信证券	2.53	3906586112	18.65	18.67	18.68	2119920	68	0.16	          2.16	18.40	
000063	中兴通讯	3.93	3816108032	32.55	32.55	32.56	1181346	18002	0.06	          3.44	31.80	
603799	华友钴业	0.54	3721688320	114.53	114.49	114.50	324425	5	0.00	          5.54	115.19	
002460	赣锋锂业	-0.93	3430734336	72.82	72.82	72.83	468889	5215	-0.04	          9.02	74.70	
600519	贵州茅台	0.14	3243216384	743.51	743.99	744.00	43658	2	0.30	          0.35	746.88	
002236	大华股份	9.96	3173217536	29.15	29.14	29.15	1110402	4471	0.52	          6.52	26.52	
600048	保利地产	-3.52	3019017728	15.09	15.08	15.09	2023755	99	0.33	          1.72	15.67	
600516	方大炭素	3.26	2987549696	30.45	30.46	30.47	990157	263	0.20	          5.76	29.90	
601288	农业银行	-0.46	2932759040	4.32	4.31	4.32	6781888	1339	0.47	          0.23	4.37	
000651	格力电器	1.09	2865392896	54.65	54.65	54.66	526466	6120	-0.01	          0.88	54.78	
002415	海康威视	4.93	2669265152	43.00	43.00	43.01	624765	3696	0.09	          0.85	41.26	
000858	五 粮 液	-1.41	2511465984	78.52	78.52	78.53	320270	3303	0.23	          0.84	79.60	
600460	士兰微	9.24	2495694848	15.85	15.83	15.84	1619709	1184	0.06	         12.99	14.52	
002230	科大讯飞	2.29	2279329024	54.52	54.52	54.53	413299	7763	0.04	          3.49	53.80	
600036	招商银行	-0.85	2272643328	31.51	31.50	31.62	718618	21	0.70	          0.35	31.89	
300059	东方财富	4.58	2232202496	13.93	13.93	13.94	1626227	13898	0.07	          5.10	13.62	
601668	中国建筑	0.21	2069985152	9.34	9.33	9.34	2239447	306	0.00	          0.75	9.40	
300104	乐视网	-0.19	2054845696	5.28	5.28	5.29	3955894	63488	0.57	         13.09	5.09	
601398	工商银行	0.14	1973958656	7.02	7.01	7.02	2804497	15	0.14	          0.10	7.06	
002466	天齐锂业	0.02	1950378112	61.00	60.99	61.00	318732	3384	-0.04	          2.81	61.33	
002049	紫光国芯	3.37	1875542144	42.32	42.32	42.33	445496	4881	0.33	          7.39	40.25	
601166	兴业银行	0.50	1866077696	18.25	18.25	18.26	1022612	12	0.05	          0.54	18.28	
000002	万 科Ａ	-1.56	1832518272	34.18	34.18	34.19	540655	4862	-0.05	          0.56	35.07	
600703	三安光电	4.15	1750002816	25.12	25.14	25.15	695113	16	0.52	          1.70	24.30	
000830	鲁西化工	4.22	1700858112	24.45	24.45	24.46	719123	32121	0.25	          4.91	23.64	
600019	宝钢股份	1.14	1697137920	10.62	10.61	10.62	1586879	75	0.38	          0.72	10.75	
600029	南方航空	2.36	1667327744	12.58	12.58	12.59	1342786	79	0.08	          1.91	12.33	
601899	紫金矿业	1.45	1639762304	4.89	4.89	4.90	3385132	425	0.20	          2.14	4.85	
000825	太钢不锈	0.14	1637219328	7.17	7.17	7.18	2267516	27026	0.14	          3.98	7.26	
600050	中国联通	3.50	1611538432	6.51	6.51	6.52	2501937	577	0.31	          1.18	6.33	
002925	盈趣科技	6.11	1581477888	97.50	97.49	97.50	167715	1900	0.02	         22.36	93.43	
600585	海螺水泥	4.39	1565313536	35.17	35.09	35.11	454793	35	0.63	          1.14	34.11	
002926	华西证券	6.08	1536032256	15.17	15.17	15.18	1037177	11339	0.00	         19.76	14.60	
300136	信维通信	9.27	1501132288	40.09	40.08	40.09	384243	3045	0.35	          5.16	37.30	
002008	大族激光	6.80	1488872064	55.00	55.00	55.01	272977	2395	0.24	          2.75	52.06	
002340	格林美	3.50	1486772480	7.09	7.08	7.09	2109852	15994	0.28	          6.77	6.90	
002146	荣盛发展	-1.39	1466534656	11.39	11.39	11.40	1311339	9494	0.26	          3.37	11.60	
600507	方大特钢	0.63	1436748672	19.30	19.30	19.31	752223	157	0.63	          5.67	19.17	
000333	美的集团	0.26	1424718720	57.70	57.70	57.72	246266	2757	-0.13	          0.39	57.58	
601688	华泰证券	3.26	1377565184	17.75	17.74	17.75	788869	134	0.23	          1.45	17.37	
600340	华夏幸福	-0.79	1376941824	38.97	38.98	38.99	357995	29	0.36	          1.21	39.95	
002497	雅化集团	6.32	1374076288	13.12	13.11	13.12	1069947	10058	-0.52	         13.13	12.69	
603019	中科曙光	6.36	1358759808	41.64	41.63	41.64	331246	64	0.31	          5.15	39.35	
600567	山鹰纸业	2.71	1347918720	5.30	5.29	5.30	2558048	309	0.57	          5.60	5.26	
600887	伊利股份	0.56	1345531648	34.18	34.18	34.19	394120	46	0.21	          0.65	34.30	
002456	欧菲科技	5.81	1342659840	21.32	21.31	21.32	637957	4955	0.19	          2.40	20.31	
600606	绿地控股	-0.64	1332587008	7.73	7.72	7.73	1746953	40	0.13	          5.42	7.83	
000001	平安银行	0.16	1318960512	12.63	12.63	12.64	1045759	9843	0.16	          0.62	12.77	
002241	歌尔股份	8.98	1313043456	14.93	14.92	14.93	896134	8423	-0.26	          3.29	13.86	
600487	亨通光电	4.49	1300388864	37.95	37.94	37.95	346285	2	-0.02	          2.79	36.90	
000732	泰禾集团	2.15	1289746944	29.88	29.88	29.89	444265	12952	0.03	          3.57	29.90	
002916	深南电路	4.95	1258228608	73.15	73.14	73.15	173817	2157	0.05	         24.83	72.00	
600028	中国石化	0.76	1253651072	6.63	6.62	6.63	1888172	104	0.30	          0.20	6.65	
600282	南钢股份	0.89	1252575232	5.69	5.69	5.70	2193574	72	0.53	          5.66	5.69	
601838	成都银行	6.17	1243422848	13.25	13.25	13.26	960566	112	0.23	         26.59	12.70	
300618	寒锐钴业	5.11	1239060992	276.55	276.54	276.55	45310	657	0.00	         15.10	265.80	
000816	智慧农业	9.92	1238369152	4.32	4.32	--  	2971444	901	0.00	         22.24	3.89	
601111	中国国航	3.31	1191789824	14.36	14.37	14.38	844087	27	0.00	          0.99	13.84	
601939	建设银行	-0.57	1161279360	8.75	8.75	8.76	1322404	80	0.46	          1.38	8.90	
001979	招商蛇口	-2.61	1130979328	23.11	23.11	23.12	497713	2751	0.35	          2.62	23.70	
600362	江西铜业	2.13	1099464192	19.21	19.21	19.22	580237	5	0.10	          2.80	18.83	
002650	加加食品	-2.72	1095392640	5.01	5.01	5.02	2315029	13546	-0.59	         24.49	4.64	
300431	暴风集团	4.01	1086656896	26.44	26.44	26.45	413010	4929	0.04	         17.60	25.48	
600588	用友网络	2.96	1070523520	30.65	30.66	30.67	351736	148	-0.38	          2.41	30.52	
600740	山西焦化	3.42	1070256512	14.52	14.53	14.54	748278	57	-0.06	         11.39	14.50	
601699	潞安环能	1.65	1068950080	13.56	13.57	13.58	790861	11	0.22	          2.64	13.65	
000401	冀东水泥	7.26	1065490432	14.19	14.19	14.20	775493	14829	0.00	          5.76	13.60	
601088	中国神华	0.82	1058777728	25.83	25.87	25.88	410290	96	0.58	          0.25	25.75	
601012	隆基股份	4.05	1052012160	34.16	34.17	34.18	315939	31	0.03	          1.60	32.50	
601328	交通银行	0.30	1049737152	6.70	6.69	6.70	1568245	41	0.15	          0.40	6.70	
002027	分众传媒	3.36	1035850112	14.46	14.46	14.47	722037	6312	-0.40	          1.24	14.05	
002110	三钢闽光	0.99	1034531968	23.56	23.56	23.57	437303	3794	0.21	          4.41	23.78	
300113	顺网科技	2.59	1031714176	22.57	22.56	22.57	456647	6294	0.09	          9.88	22.35	
002594	比亚迪	3.36	1015836672	64.91	64.91	64.92	156114	1003	0.08	          1.37	63.88	
300740	御家汇	2.51	1014678208	48.10	48.10	48.11	210499	2170	0.02	         52.62	47.40	
600522	中天科技	4.27	1002855360	12.45	12.46	12.47	811005	88	0.24	          2.97	12.04	
601988	中国银行	0.23	1000452736	4.40	4.40	4.41	2272187	301	0.00	          0.11	4.42	
300487	蓝晓科技	9.99	990040128	29.28	29.28	--  	347267	1605	0.00	         41.05	28.00	
002001	新 和 成	-3.07	987427008	39.50	39.50	39.54	242673	13047	-0.24	          2.26	40.75	
600160	巨化股份	9.99	976963968	12.00	12.00	--  	850196	37	2.21	          4.16	10.97	
000100	TCL 集团	7.00	959513920	3.67	3.66	3.67	2675778	36121	0.00	          2.28	3.46	
002251	步 步 高	-5.16	957130240	18.03	18.03	18.04	531208	2955	-0.10	          6.99	19.50	
601766	中国中车	1.73	955179968	10.60	10.59	10.60	910616	388	-0.08	          0.40	10.44	
600584	长电科技	6.95	943490304	19.39	19.38	19.40	493748	103	0.00	          5.01	18.29	
600581	八一钢铁	2.98	930339200	16.61	16.60	16.61	564205	135	0.85	          7.36	16.50	
002405	四维图新	4.53	929270912	21.90	21.90	21.91	426728	3113	0.00	          4.16	21.04	
300251	光线传媒	1.53	925858560	12.60	12.60	12.61	736877	11000	0.08	          2.68	12.44	
600903	贵州燃气	10.00	909843392	23.42	23.42	--  	394031	18	0.00	         32.31	22.30	
601601	中国太保	2.51	904175744	42.51	42.52	42.53	215180	10	-0.04	          0.34	41.70	
000932	*ST华菱	3.52	881445568	10.30	10.29	10.30	862948	11793	0.10	          2.86	10.20	
601933	永辉超市	0.94	879979456	10.70	10.70	10.71	828474	56	-0.08	          1.27	10.70	
600016	民生银行	-0.23	877355392	8.77	8.77	8.78	1000115	207	0.11	          0.34	8.84	
600789	鲁抗医药	8.95	877247936	12.54	12.60	12.61	720273	56	-0.07	         12.38	11.63	
