代码	名称	涨幅%%	总金额	现价	买价	卖价	总量	现量	涨速%%	换手%%	
601318	中国平安	1.28	5477772288	69.77	69.76	69.77	783650	32	-0.15	          0.72	
600519	贵州茅台	3.34	3717469184	742.45	742.22	742.40	50765	12	0.33	          0.40	
000651	格力电器	1.38	3409630720	54.99	54.99	55.00	618226	4751	0.00	          1.04	
000725	京东方Ａ	2.35	3048601088	5.66	5.65	5.66	5418361	68182	0.18	          1.60	
002460	赣锋锂业	2.79	3012525312	68.23	68.23	68.24	435739	4634	0.31	          8.39	
600030	中信证券	2.16	2802806272	18.01	18.02	18.03	1560165	370	0.06	          1.59	
600516	方大炭素	2.79	2577936640	29.49	29.50	29.51	874486	116	0.24	          5.09	
601288	农业银行	3.61	2307025408	4.31	4.31	4.32	5380012	5	0.00	          0.18	
000858	五 粮 液	4.57	2293498112	80.10	80.09	80.10	290978	4636	0.09	          0.77	
002466	天齐锂业	0.27	2282534912	58.83	58.83	58.84	378292	4690	-0.04	          3.33	
600029	南方航空	9.56	2156659200	12.38	12.38	12.39	1784718	115	0.49	          2.54	
600036	招商银行	0.41	2144014336	31.50	31.51	31.52	677681	176	0.38	          0.33	
601166	兴业银行	2.37	2052991360	18.14	18.13	18.14	1137939	875	0.00	          0.60	
000063	中兴通讯	2.36	2003323264	31.22	31.21	31.22	646542	8898	0.13	          1.89	
002230	科大讯飞	7.51	1986661376	53.70	53.69	53.70	377486	3094	-0.05	          3.19	
600887	伊利股份	6.20	1878068224	34.25	34.24	34.25	557758	67	-0.19	          0.92	
300059	东方财富	4.60	1831421568	13.41	13.41	13.42	1374946	17488	-0.14	          4.31	
601398	工商银行	1.74	1789568256	7.00	6.99	7.00	2546631	147	0.00	          0.09	
000825	太钢不锈	2.69	1676979456	6.88	6.88	6.89	2471225	32201	0.44	          4.34	
600019	宝钢股份	1.36	1671300352	10.42	10.42	10.43	1628218	377	0.29	          0.74	
600028	中国石化	2.69	1670311424	6.48	6.48	6.49	2596592	5243	0.00	          0.27	
600048	保利地产	1.51	1626813440	15.43	15.46	15.47	1048358	20	-0.05	          0.89	
000830	鲁西化工	9.21	1601789696	23.24	23.24	23.25	712053	13262	0.26	          4.86	
600507	方大特钢	2.23	1586843008	19.68	19.69	19.70	829147	313	0.51	          6.25	
000001	平安银行	3.83	1573562624	12.46	12.46	12.47	1268406	15021	0.00	          0.75	
601899	紫金矿业	3.92	1513264768	4.77	4.76	4.77	3199938	545	0.00	          2.02	
603799	华友钴业	10.00	1507863808	109.99	109.99	--  	140564	5	0.00	          2.40	
000333	美的集团	2.14	1461224832	58.14	58.14	58.15	251527	1048	0.00	          0.40	
600588	用友网络	9.99	1394420864	29.94	29.94	--  	477546	16	0.00	          3.27	
601111	中国国航	10.03	1373697536	13.82	13.82	--  	1019923	20	0.00	          1.20	
601668	中国建筑	1.56	1331936640	9.12	9.12	9.13	1463113	242	0.11	          0.49	
03993	洛阳钼业	8.35	1328624000	6.360	6.360	6.370	213265136	2466000	-0.31	          5.42	
300251	光线传媒	4.72	1323801600	12.64	12.64	12.65	1049734	9308	-0.15	          3.81	
300104	乐视网	9.95	1291856768	4.86	4.86	--  	2824080	10142	0.00	          9.34	
002340	格林美	9.94	1265466240	6.86	6.86	--  	1865591	2302	0.00	          5.99	
600460	士兰微	5.26	1205223168	14.42	14.41	14.42	842267	47	0.07	          6.75	
601328	交通银行	1.37	1189547648	6.64	6.64	6.65	1793090	553	-0.14	          0.46	
601939	建设银行	3.54	1173404544	8.78	8.78	8.79	1338656	8	-0.22	          1.40	
600362	江西铜业	2.58	1111203968	18.67	18.66	18.67	599459	81	0.05	          2.89	
600585	海螺水泥	1.70	1090928384	33.49	33.50	33.51	324704	18	0.06	          0.81	
600352	浙江龙盛	6.47	1076816512	12.50	12.49	12.50	871799	5	0.24	          2.85	
002049	紫光国芯	10.00	1040227008	38.28	38.28	--  	276384	162	0.00	          4.59	
600690	青岛海尔	3.03	1034085376	20.41	20.40	20.42	508443	616	0.05	          0.83	
300618	寒锐钴业	10.00	1020612480	267.64	267.64	--  	39098	271	0.00	         13.03	
002236	大华股份	2.99	1019367936	26.90	26.90	26.91	384867	3517	0.04	          2.26	
000002	万 科Ａ	1.60	1019234560	33.70	33.69	33.70	302373	5646	-0.14	          0.31	
002415	海康威视	2.51	998337600	40.44	40.44	40.45	248291	2097	-0.01	          0.34	
601088	中国神华	2.75	988759936	25.37	25.38	25.39	392804	55	0.08	          0.24	
600115	东方航空	7.80	976132672	8.02	8.01	8.02	1246046	713	0.25	          1.27	
002497	雅化集团	5.85	966250304	11.22	11.22	11.23	858771	11191	-0.35	         10.54	
601688	华泰证券	1.37	909816896	17.02	17.02	17.03	536043	92	0.29	          0.98	
001979	招商蛇口	0.47	895635264	23.31	23.31	23.32	383200	1403	0.30	          2.02	
002027	分众传媒	2.56	893068928	14.42	14.41	14.42	617336	2628	0.28	          1.06	
601888	中国国旅	3.22	883324352	53.47	53.48	53.50	163986	500	0.13	          0.84	
